kod towaru;nazwa;ean;stan;dostepnosc
003064-001048;MD2128B-3W LIBRA LAMPA WISZĄCA;2011002378606;27;50 in production | -
003064-001050;MD2128B-3R LIBRA LAMPA WISZĄCA;2011002378620;0;50 in production | -
003064-001054;TS-5805-BK ZODIAC LAMPA PODŁOGOWA CZARNA;2011001575778;0;205 week 52/2021 | 50 in production | -
003064-001055;TS-010121W VISION LAMPA PODŁOGOWA;2011001575808;0;100 week 52/2021 | 50 in production | -
003064-001056;TS-010121MM SOHO LAMPA PODŁOGOWA;2011001575815;0;210 week 52/2021 | 190 in production | -
003064-001057;TS-090522F-BK ANTENNE LAMPA PODŁOGOWA;2011002133823;0;205 week 52/2021 | 195 in production | -
003064-001058;TS-071003P-BKGO ANTENNE LAMPA WISZĄCA;2011004003452;0;100 week 52/2021 | 100 in production | -
003064-001060;TS-120404P-BKGO ANTENNE LAMPA WISZĄCA;2011004500975;0;100 week 52/2021 | 50 in production | -
003064-001061;TS-071003PM-BKGO ANTENNE LAMPA WISZĄCA;2011004500982;0;-
003064-001063;TS-5805G VENTI CHROME LAMPA PODŁOGOWA;2011003404380;0;155 week 52/2021 | 100 in production | -
003064-001065;TS-061121F MADISON LAMPA PODŁOGOWA;2011003564961;0;100 in production | -
003064-001066;TS-061121M MANHATTAN LAMPA PODŁOGOWA;2011003564978;4;140 in production | -
003064-001067;TS-065909F ENERGY LAMPA PODŁOGOWA;2011003564985;0;-
003064-001068;TS-060216F DECO LAMPA PODŁOGOWA;2011003564992;0;190 in production | -
003064-001069;TS-060216T DECO LAMPA STOŁOWA;2011003565005;15;190 in production | -
003064-001070;TS-062909F-BR SEVILLE LAMPA PODŁOGOWA;2011003565029;0;-
003064-001072;TS-050402F-BKGO LUZIA LAMPA PODŁOGOWA;2011004003070;0;105 week 52/2021 | 95 in production | -
003064-001073;TS-070720F-BK COSTANZA LAMPA  PODŁOGOWA;2011004003117;0;100 week 52/2021 | 100 in production | -
003064-001076;TS-110314F-WH LORITA LAMPA PODŁOGOWA;2011004597586;14;50 in production | -
003064-001077;TS-110314T-WH LORITA LAMPA STOŁOWA;2011004597593;0;-
003064-001078;TS-110611P-CH CANDE LAMPA WISZĄCA;2011004003421;0;-
003064-001079;TS-110611P-BK CANDE LAMPA WISZĄCA;2011004003438;0;-
003064-001080;TS-110611P-WH CANDE LAMPA WISZĄCA;2011004003445;0;-
003064-001081;TS-081111P-BK DOTS LAMPA WISZĄCA;2011004003483;0;50 week 52/2021 | 50 in production | -
003064-001083;TS-5805-BKGO BRANCA LAMPA PODŁOGOWA;2011004185950;0;260 week 52/2021 | 190 in production | -
003064-001087;1005-W/G SECTION KINKIET BIAŁY/ZŁOTY;2011002059369;0;-
003064-001089;1376 TORNADO KINKIET;2011002729187;0;-
003064-001090;1235-BG CONCEPT KINKIET CZARNY\ZŁOTY;2011002729200;0;-
003064-001091;1235-WG CONCEPT KINKIET BIAŁY/ZŁOTY;2011002729217;0;-
003064-001094;RLB94023-1B PICTOR KINKIET;2011002533180;73;102 week 46/2021 | -
003064-001095;RLB94023-1W PICTOR KINKIET;2011002533197;75;102 week 46/2021 | -
003064-001096;RLX94023-3B PICTOR LAMPA SUFITOWA;2011002533203;3;100 in production | -
003064-001097;RLX94023-3W PICTOR LAMPA SUFITOWA;2011002533210;64;100 in production | -
003064-001100;RLD92093-4 ROSA LAMPA WISZĄCA;2011002533432;0;100 in production | -
003064-001108;RLT94118-1B CERI LAMPA STOŁOWA;2011002893185;1;200 in production | -
003064-001109;RLD94103-5 CARMEN LAMPA WISZĄCA;2011002893321;134;100 in production | -
003064-001110;RLD94103-3 CARMEN LAMPA WISZĄCA;2011002893338;212;-
003064-001111;RLB94103-1 CARMEN KINKIET;2011002893345;171;100 in production | -
003064-001112;RLD92132-5 LUCE LAMPA WISZĄCA;2011002893413;224;100 week 46/2021 | -
003064-001113;RLD93139-4A CAFE LAMPA WISZĄCA;2011003404397;143;200 week 46/2021 | 200 in production | -
003064-001114;RLD93139-4B CAFE LAMPA WISZĄCA;2011003404403;171;200 week 46/2021 | 100 in production | -
003064-001117;RLD94104-1C ELBA LAMPA WISZĄCA;2011004562614;300;300 week 46/2021 | -
003064-001118;RLT93178-1A MARVEL LAMPA STOŁOWA;2011004562690;119;150 week 46/2021 | 100 in production | -
003064-001119;RLT93163-1B REA II LAMPA STOŁOWA;2011004562706;204;100 in production | -
003064-001120;RLT93163-1W REA II LAMPA STOŁOWA;2011004562713;134;200 week 46/2021 | 200 in production | -
003064-001121;RLD93023-2A INEZ LAMPA WISZĄCA;2011004562812;107;100 week 46/2021 | 150 in production | -
003064-001122;RLD93023-3A INEZ LAMPA WISZĄCA;2011004562843;34;100 in production | -
003064-001124;RLX94188-4 MEDEL LAMPA SUFITOWA;2011004563116;120;-
003064-001125;MX1104-2 TANGO LAMPA SUFITOWA SREBRNA;2011002707222;4;150 week 52/2021 | -
003064-001127;MD1104-2 TANGO LAMPA WISZĄCA CZARNA;2011002707253;0;200 week 52/2021 | -
003064-001128;MD9023-1L PICO LAMPA WISZĄCA CZARNA;2011002707307;0;100 week 52/2021 | -
003064-001129;MX9023-1L PICO LAMPA SUFITOWA SREBRNA;2011004554657;0;50 week 52/2021 | -
003064-001131;MD9023-1S PICO LAMPA WISZĄCA SREBRNA;2011004554671;0;104 week 52/2021 | -
003064-001133;MD9023-3B PICO LAMPA WISZĄCA SREBRNA;2011004554930;26;100 week 52/2021 | -
003064-001135;MD1458-1L CIRO LAMPA WISZĄCA SREBRNA;2011004363563;9;-
003064-001139;50475-BK COLOR DL1 SPOT SQUARE CZARNY/BLACK;2011003611139;341;-
003064-001140;50475-WH COLOR DL1 SPOT SQUARE BIAŁY/WHITE;2011003611146;365;-
003064-001141;50407-WH RONDOO SL 2 SPOT UP BIAŁY/WHITE;2011003611153;506;500 week 52/2021 |
003064-001142;50407-BK RONDOO SL 2 SPOT UP CZARNY/BLACK;2011003611160;494;-
003064-001143;89201 RONDOO SL 1 UP SPOT CZARNY-ALU/BLACK-ALU;2011003611184;2731;-
003064-001144;44805 RONDOO SL 1 UP SPOT ALUMINIUM;2011003611191;467;-
003064-001145;45519 RONDOO SL 1 UP SPOT BIAŁY/WHITE;2011003611207;3209;-
003064-001146;89313 DEEP SL 1 SPOT BLACK-GOLD;2011003611177;455;500 week 52/2021 |
003064-001147;50484-G9 GO SL 1 SPOT CZARNY/BLACK;2011004021838;167;-
003064-001148;50485-G9 GO SL 2 SPOT CZARNY/BLACK;2011004021845;175;400 week 52/2021 |
003064-001149;89962-G9 GO SL 1 SPOT BIAŁY/WHITE;2011004021852;205;-
003064-001150;89964-G9 GO SL 2 SPOT BIAŁY/WHITE;2011004021913;525;-
003064-001151;89200-BK QUADRO SL 1 UP SPOT CZARNY/BLACK;2011004021975;973;-
003064-001152;89200-WH QUADRO SL 1 UP SPOT BIAŁY/WHITE;2011004021982;1187;-
003064-001153;HP1335-WH SKELETON LAMPA WISZĄCA BIAŁA/WHITE;2011004420402;0;-
003064-001154;HP1342 STONE LAMPA WISZĄCA;2011004420419;10;-
003064-001159;P1305-01S-F4AB NAOMI LAMPA WISZĄCA;2011004805667;106;-
003064-001174;C0076-05K-F4GR VISTA LAMPA SUFITOWA SREBRNA;2011004907170;71;100 week 52/2021 | -
003064-001175;C0076-06K-F4GR VISTA LAMPA SUFITOWA;2011004907187;64;-
003064-001176;P0076-05K-F4GR VISTA LAMPA WISZĄCA CHROM;2011004907194;130;-
003064-001178;P0076-06K-F4GR VISTA LAMPA WISZĄCA;2011004907217;135;-
003064-001179;C0076-01D-F4K9 RAIN LAMPA SUFITOWA;2011004915151;80;80 week 48/2021 | 50 week 51/2021 -
003064-001180;C0076-05L-F4K9 RAIN LAMPA SUFITOWA;2011004915168;43;100 week 50/2021| -
003064-001182;P0076-01D-F4K9 RAIN LAMPA WISZĄCA;2011004915182;36;80 week 48/2021 | -
003064-001187;T0076-03D-F4K9 RAIN LAMPA STOŁOWA;2011004915250;37;-
003064-001188;W0076-01D-F4K9 RAIN KINKIET;2011004915274;74;-
003064-001198;HP1392-500-BL+PB ANDREA LAMPA WISZĄCA;2011004958745;0;-
003064-001199;HP1392-C-500-BL+PB ANDREA LAMPA SUFITOWA;2011004958752;0;-
003064-001205;RLX96700-1 ALTA LAMPA SUFITOWA;2011005262940;0;-
003064-001206;RLT93350-1A LETA LAMPA STOŁOWA;2011005262957;254;300 week 46/2021 | 100 in production | -
003064-001207;RLT93350-1B LETA LAMPA STOŁOWA;2011005262964;175;200 week 46/2021 | 100 in production | -
003064-001208;RLD94350-5B CESARE LAMPA WISZĄCA;2011005262971;39;50 week 46/2021 | -
003064-001209;RLD94350-5A CESARE LAMPA WISZĄCA;2011005262988;13;50 week 46/2021 | -
003064-001211;RLT93224-1A BELLO LAMPA STOŁOWA;2011005263015;184;220 week 46/2021 | 100 in production | -
003064-001212;RLT93224-1B BELLO LAMPA STOŁOWA;2011005263022;192;100 in production | -
003064-001213;RLD94217-6A NOVIA LAMPA WISZĄCA;2011005263039;38;100 in production | 100 in production | -
003064-001214;C0173-07W-B5B3 BLINK LAMPA SUFITOWA;2011005455663;44;28 week 48/2021 | 72 week 52/2021 | -
003064-001215;P0173-05W-F4B3 BLINK LAMPA WISZĄCA;2011005455670;180;44 week 48/2021 | 50 week 52/2021 | -
003064-001216;P0173-07W-F4B3 BLINK LAMPA WISZĄCA;2011005455687;115;-
003064-001222;W0173-02A-F4B3  BLINK KINKIET;2011005455762;113;50 week 51/2021 -
003064-001227;P0369-03A-B5GR PIOLI LAMPA WISZĄCA;2011005469608;0;-
003064-001228;W0369-01A-B5GR PIOLI KINKIET;2011005469677;0;-
003064-001235;P0404-01A-F4AC AURELIA LAMPA WISZĄCA;2011005469851;0;50 week 50/2021| -
003064-001240;W0404-01A-B5AC AURELIA KINKIET;2011005470024;46;50 week 48/2021 | -
003064-001250;P0386-01A-F4AC GIANNA LAMPA WISZĄCA;2011005470208;0;-
003064-001260;MX48002-2B VALENTI LAMPA SUFITOWA;2011005474411;2;-
003064-001261;MX48002-4 VALENTI LAMPA SUFITOWA;2011005474428;0;-
003064-001275;PL1100014-5 CARRELLO LAMPA SUFITOWA;2011005478297;0;-
003064-001276;PL1100014-3 CARRELLO LAMPA SUFITOWA;2011005478303;87;-
003064-001278;L99832-1 PISTA LAMPA WISZĄCA;2011005478327;122;-
003064-001280;CK99892-1 SICA SPOT;2011005479799;1;-
003064-001283;CK99893-1 RAO SPOT;2011005479829;0;-
003064-001285;CK99893-3 RAO SPOT;2011005479843;0;-
003064-001286;CK99603A-1 SPAZIO SPOT;2011005479867;3;120 January 2022 | -
003064-001287;CK99603A-2 SPAZIO SPOT;2011005479874;2;108 January 2022 | -
003064-001289;CK99603A-4 SPAZIO SPOT;2011005479898;0;104 January 2022 | -
003064-001294;TS-060216F-CHWH DECO LAMPA PODŁOGOWA CHROME;2011005481884;0;195 in production | -
003064-001295;TS-060216T-CHWH DECO LAMPA STOŁOWA CHROME;2011005481891;3;100 in production | -
003064-001299;TS-140123P-CH CANDE LAMPA WISZĄCA CHROME;2011005481938;42;-
003064-001300;MD1621-1 VERO LAMPA WISZĄCA MIEDŹ/COPPER;2011005483215;0;127 week 52/2021 | -
003064-001321;TS-071003P-BKSI ANTENNE LAMPA WISZĄCA;2011005662375;0;-
003064-001326;TS-140605W-BK CANDE KINKIET;2011005662498;0;-
003064-001331;TS-101015P-BKGO MARCO LAMPA WISZĄCA;2011005662610;0;100 in production | -
003064-001339;MB1622-1 ENZO KINKIET CHROME TRANSPARENT;2011005666823;0;-
003064-001343;MT9023-1S PICO LAMPA STOŁOWA CZARNA CHROM/BLACK CHROME;2011005666908;0;-
003064-001344;20001-BK LOMO CL 1 SPOT CZARNY/BLACK;2011005668216;250;-
003064-001345;20001-WH LOMO CL 1 SPOT BIAŁY/WHITE;2011005668223;49;500 week 52/2021 |
003064-001346;20014-WH TORI SL 1 SPOT BIAŁY+ZŁOTY/WHITE+GOLD;2011005668322;346;-
003064-001347;92702 CHUCK DL ROUND SPOT CZARNY+ZŁOTY/BLACK+GOLD;2011005668421;710;-
003064-001348;92699 CHUCK DL ROUND SPOT BIAŁY/WHITE;2011005668438;1;1200 week 52/2021 |
003064-001349;92700 CHUCK DL ROUND SPOT CZARNY/BLACK;2011005668445;473;-
003064-001350;92703 CHUCK DL SQUARE SPOT BIAŁY/WHITE;2011005668452;1025;-
003064-001351;92704 CHUCK DL SQUARE SPOT CZARNY/BLACK;2011005668469;290;-
003064-001352;92706 CHUCK DL SQUARE SPOT CZARNY+ZŁOTY/BLACK+GOLD;2011005668476;467;400 week 52/2021 |
003064-001353;92679 TUBA SL 1 KINKIET BIAŁY/WHITE;2011005668483;337;-
003064-001354;92680 TUBA SL 1 KINKIET CZARNY/BLACK;2011005668490;1214;-
003064-001355;91066 TRANSFER WL 2 KINKIET BIAŁY/WHITE;2011005668506;317;-
003064-001356;91061 SOLA WL ROUND KINKIET CZARNY+ZŁOTY/BLACK+GOLD;2011005668551;96;-
003064-001357;90842 TRANSFER WL KINKIET CZARNY/BLACK;2011005668568;574;-
003064-001362;RLD93139-4C CAFÉ LAMPA WISZĄCA JASNA SZARA/LIGHT GREY;2011005763850;27;50 week 46/2021 | 50 in production | 100 in production | -
003064-001363;RLD93139-4LB CAFÉ LAMPA WISZĄCA CZARNA/BLACK;2011005763867;0;100 in production | -
003064-001364;RLD93139-4LA CAFÉ LAMPA WISZĄCA BIAŁA/WHITE;2011005763874;152;100 in production | -
003064-001367;RLD94016-5B MAGNOLIA LAMPA WISZĄCA CZARNA/BLACK;2011005764000;1113;580 week 46/2021 | -
003064-001368;RLB94016-2B MAGNOLIA KINKIET CZARNY/BLACK;2011005764017;577;200 week 46/2021 | -
003064-001373;MX48006-3K DARIO LAMPA SUFITOWA;2011005666366;0;-
003064-001374;20034-CH TUBO WL KINKIET CHROM;2011005826616;259;-
003064-001385;HP1463-BL ROD LAMPA WISZĄCA CZARNA/BLACK;2011005651546;0;-
003064-001395;HP1811-12 CANDEL LAMPA WISZĄCA;2011005653182;0;-
003064-001406;SL570-2-SS+GR PEDRO LAMPA PODŁOGOWA SZARA/GREY;2011005653670;0;-
003064-001407;92703-GD CHUCK DL SQUARE SPOT ZŁOTY/GOLD;2011005843668;0;-
003064-001411;CK99603A-1B SPAZIO KINKIET CZARNY-CHROME/BLACK&CHROME;2011005780635;3;120 January 2022 | -
003064-001412;CK99603A-2B SPAZIO SPOT CZARNY-CHROME/BLACK&CHROME;2011005780642;9;108 January 2022 | -
003064-001413;CK99603A-3B SPAZIO SPOT CZARNY-CHROME/BLACK&CHROME;2011005780666;6;108 January 2022 | -
003064-001414;CK99603A-4B SPAZIO LAMPA SUFITOWA CZARNA-CHROME/BLACK&CHROME;2011005780673;1;104 January 2022 | -
003064-001529;HP1335-BL SKELETON LAMPA WISZĄCA CZARNA/BLACK;2011004420389;0;-
003064-001555;MD1104-2 TANGO LAMPA WISZĄCA SREBRNA;2011002707246;0;200 week 52/2021 | -
003064-001556;MD9023-1L PICO LAMPA WISZĄCA SREBRNA;2011002707291;0;50 week 52/2021 | -
003064-001563;MX1104-2L TANGO LAMPA SUFITOWA SREBRNA;2011004554961;32;-
003064-001564;MX1104-2L TANGO LAMPA SUFITOWA CZARNA;2011004554978;0;150 week 52/2021 | -
003064-001565;MD1104-2L TANGO LAMPA WISZĄCA SREBRNA;2011004554985;8;100 week 52/2021 | -
003064-001566;MD1104-2L TANGO LAMPA WISZĄCA CZARNA;2011004555012;0;150 week 52/2021 | -
003064-001575;MD1510-1 SILA LAMPA WISZĄCA CHROM/CHROME;2011004915656;0;-
003064-001584;MD1621-1 VERO LAMPA WISZĄCA CHROME;2011005483192;127;-
003064-001591;MD1318-5 BIAGIO LAMPA WISZĄCA CHROME TRANSPARENT;2011005666885;0;-
003064-001621;RLB94016-2A MAGNOLIA KINKIET;2011002533357;561;-
003064-001622;RLD94016-5A MAGNOLIA LAMPA WISZĄCA;2011002533531;840;580 week 46/2021 | -
003064-001633;RLT93174-1W CERI LAMPA STOŁOWA;2011002893208;0;52 in production | -
003064-001642;RLD93024-1A BULB LAMPA WISZĄCA;2011004562621;27;50 week 46/2021 | 50 in production | -
003064-001643;RLL93024-1A BULB LAMPA PODŁOGOWA;2011004562638;91;15 week 46/2021 | 50 in production | -
003064-001645;RLX93023-2A INEZ LAMPA SUFITOWA;2011004562799;0;200 in production | -
003064-001646;RLX93023-3A INEZ LAMPA SUFITOWA;2011004562805;0;150 in production | 150 in production | -
003064-001647;RLD93350-1B LETA LAMPA WISZĄCA;2011004562850;159;117 week 46/2021 | 83 week 46/2021 | 200 in production | -
003064-001648;RLD93350-1W LETA LAMPA WISZĄCA;2011004562881;302;-
003064-001649;RLD92193-6 ARTEMIDA LAMPA WISZĄCA;2011004562928;68;100 week 46/2021 | -
003064-001650;RLD92193-5 ARTEMIDA LAMPA WISZĄCA;2011004562935;5;50 in production | -
003064-001658;RLL93163-1B REA II LAMPA PODŁOGOWA CZARNA/BLACK;2011004562768;40;100 week 46/2021 | 80 in production | -
003064-001659;RLL93163-1W REA II LAMPA PODŁOGOWA BIAŁA/WHITE;2011004562775;0;50 week 46/2021 | 80 in production | -
003064-001673;RLX92350-20 SERPENTIS LAMPA SUFITOWA;2011005455922;0;80 in production | -
003064-001678;RLX92711-5 RANGEL LAMPA SUFITOWA SREBRNA/SILVER;2011005763706;175;200 in production | 350 in production | -
003064-001679;RLX94874-5 ALEX LAMPA SUFITOWA SREBRNA/SILVER;2011005763713;130;100 in production | -
003064-001680;RLB94875-1 CLOE KINKIET CZARNY/BLACK;2011005763720;85;400 in production | -
003064-001681;RLD93163-1B REA II LAMPA WISZĄCA CZARNA/BLACK;2011005763737;24;80 in production | -
003064-001682;RLD93163-1W REA II LAMPA WISZĄCA BIAŁA/WHITE;2011005763744;10;80 in production | -
003064-001685;RLD931019-3 FAUSTO LAMPA WISZĄCA CZARNA/BLACK;2011005763775;62;102 week 46/2021 | 102 in production | -
003064-001697;RLT94350-3B CESARE LAMPA STOŁOWA CZARNA/BLACK;2011005763966;0;-
003064-001698;RLT94350-3A CESARE LAMPA STOŁOWA BIAŁA/WHITE;2011005763973;0;-
003064-001699;RLD93350-L1B LETA LAMPA WISZĄCA CZARNA/BLACK;2011005763980;116;150 week 46/2021 | 100 in production | -
003064-001700;RLD93350-L1W LETA LAMPA WISZĄCA BIAŁA/WHITE;2011005763997;21;100 in production | -
